producto_id,nombre_producto,categoria,precio_unitario,activo
153,Creación Padre,Moda,934.32,1
154,Rosa Noviembre,Alimentos,1019.16,1
155,Países Nuevos,Alimentos,1982.02,1
156,Paciente Media,Moda,2651.9,1
157,Porque M,Hogar,89.74,1
158,Mediante Empresas,Alimentos,2164.95,1
159,Grado Animales,Moda,3480.05,1
160,Control Nunca,Deportes,456.74,1
161,Trata Pero,Alimentos,317.23,1
162,Natural Derechos,Hogar,3170.91,1
163,Madrid Serán,Hogar,2220.9,1
164,Usted Estados,Salud,3559.1,1
165,Viene Estructura,Deportes,3312.69,1
166,Una Tenía,Deportes,1643.85,1
167,España Humano,Tecnología,2209.59,1
168,Importancia Le,Moda,2465.17,1
169,Tierra Misma,Salud,880.49,1
170,Duda Sean,Alimentos,2134.36,1
171,Habían Industria,Salud,4119.41,1
172,Puede Proceso,Tecnología,2413.56,1
173,Investigación Figura,Moda,2460.15,1
174,Quedó Día,Alimentos,2301.51,1
175,Aun Características,Tecnología,2807.82,1
176,Tenían Participación,Salud,1112.6,1
177,Gobierno Llegó,Alimentos,4353.88,1
178,Parte Uso,Hogar,2382.11,1
179,Oposición Ninguna,Salud,735.89,1
180,Así Cuya,Deportes,2902.02,1
181,Mirada Crecimiento,Salud,2982.07,1
182,Adelante Años,Hogar,844.94,1
183,Amigo Solamente,Tecnología,2209.9,1
184,Plazo Unidos,Salud,2905.79,1
185,Tengo Carrera,Deportes,2389.91,1
186,Buenos Popular,Moda,268.43,1
187,Victoria Económico,Alimentos,365.39,1
188,Propuesta Toma,Hogar,2968.08,1
189,Niveles Ningún,Tecnología,2132.86,1
190,Especie Cuales,Moda,2533.19,1
191,Blanco Prensa,Deportes,3708.02,1
192,Pequeña Pasó,Tecnología,3715.21,1
193,Camino Grupo,Tecnología,3317.64,1
194,Parece Suelo,Tecnología,4253.49,0
195,Sí Quedó,Tecnología,500.45,1
196,Primeras Período,Deportes,893.1,1
197,Elecciones Cierta,Hogar,2586.62,1
198,Material Tenemos,Salud,3383.91,1
199,Derecha Tomar,Tecnología,3459.96,1
200,Salir Sala,Alimentos,2091.31,1
201,Idea Película,Tecnología,792.3,1
202,Francisco Cuadro,Deportes,2295.88,1
203,Calle Algunos,Salud,4493.03,1
204,Derecha Luz,Moda,4066.06,1
205,Puede Muerte,Moda,3809.6,1
206,Cargo Incluso,Alimentos,1966.12,1
207,Noviembre Hacen,Salud,1121.22,1
208,Fin Habrá,Deportes,3457.4,1
209,Puesto Razones,Moda,1652.04,1
210,Hermano Hacía,Deportes,50.87,1
211,Diferencia Qué,Moda,2701.14,1
212,Superior Vamos,Moda,79.23,0
213,Importantes Objeto,Hogar,3857.96,1
214,Noviembre Dólares,Alimentos,3709.4,1
215,Educación Luis,Salud,2525.64,1
216,Hablar Médico,Hogar,469.58,1
217,Hacer Respuesta,Hogar,665.92,1
218,República Serán,Salud,1161.86,1
219,Para Profesional,Moda,458.98,1
220,Esta Aumento,Hogar,3317.48,1
221,Base Quizá,Deportes,819.42,1
222,Lleva Mes,Alimentos,3177.67,1
223,Habría Carne,Tecnología,2698.78,1
224,Ese Llegó,Alimentos,3647.12,1
225,Ser Otra,Tecnología,4152.33,1
226,Contra General,Deportes,1903.52,1
227,Fuentes Pregunta,Hogar,3377.17,1
228,Cosas Países,Tecnología,2870.8,1
229,G Hablar,Tecnología,1406.29,1
230,Nada Propios,Salud,2563.86,1
231,Empresas Edad,Alimentos,1032.55,1
232,Director Congreso,Alimentos,4488.28,0
233,Han Organización,Salud,2609.88,1
234,Vía Hoy,Deportes,1339.53,1
235,Chile Humano,Hogar,1545.95,1
236,Felipe Recuerdo,Alimentos,269.43,1
237,Decir Etc,Tecnología,1823.45,1
238,Veces Campaña,Alimentos,630.17,1
239,Ellas Casi,Salud,931.58,1
240,Dinero Entre,Salud,922.64,1
241,América Creación,Alimentos,2382.9,1
242,Entrar José,Moda,3506.63,1
243,Decir B,Salud,448.7,1
244,Cerca Varios,Deportes,1675.44,1
245,Junio Texto,Moda,2692.75,1
246,Grande Sur,Moda,803.19,1
247,Ha Riesgo,Deportes,2823.16,1
248,Peso García,Hogar,938.6,1
249,Podemos González,Alimentos,3844.8,1
250,Profesional Número,Tecnología,1131.56,1
251,Vino Apenas,Hogar,3915.95,1
252,Fácil Realizar,Tecnología,1577.56,1
253,Centros Podría,Moda,2052.77,1
254,Marco Cultural,Hogar,3343.06,1
255,Viene Todas,Salud,2378.53,1
256,Iba Programa,Deportes,2822.54,0
257,Español Marcha,Alimentos,3159.46,1
258,Joven Cámara,Salud,4081.88,1
259,Viaje Conjunto,Moda,807.92,1
260,Valor Naturaleza,Alimentos,2799.94,1
261,Psoe Ningún,Alimentos,4256.04,1
262,Dios Región,Alimentos,1257.33,1
263,Éxito Precisamente,Alimentos,1652.98,1
264,Dan Estaba,Moda,3909.98,1
265,Palabras Dijo,Hogar,4410.08,1
266,P Pregunta,Alimentos,493.24,1
267,Los Hacia,Salud,2415.44,1
268,Diario Tierra,Salud,4352.22,1
269,Finalmente Manos,Alimentos,145.62,1
270,Cerca Gracias,Salud,1406.93,1
271,Quiero Propio,Alimentos,748.67,1
272,Llegar Minutos,Moda,1631.43,1
273,Mañana Sobre,Salud,1277.66,1
274,Arriba Tales,Moda,3960.11,1
275,Grupos Hicieron,Tecnología,4251.41,1
276,Tomar Partir,Hogar,725.1,1
277,Respuesta Vuelta,Alimentos,660.81,1
278,México Control,Salud,4324.7,1
279,Aspecto Podría,Alimentos,3105.03,1
280,Media Campo,Salud,729.73,0
281,Tan Todavía,Salud,1515.32,1
282,Imposible Título,Hogar,2953.5,1
283,Esto Futuro,Alimentos,3610.47,1
284,Segundo Temas,Moda,3113.97,1
285,Mesa Lo,Hogar,1963.79,1
286,Solo Estaba,Hogar,2970.23,1
287,Director Juan,Hogar,1462.86,1
288,Personas Luego,Alimentos,576.82,1
289,Amigos Puede,Hogar,3285.5,1
290,Estudio Crisis,Deportes,4327.32,1
291,Oficial Quizá,Alimentos,4205.27,1
292,Llega Encuentran,Alimentos,1268.39,1
293,Trabajo Proyecto,Tecnología,635.38,1
294,Madrid Persona,Salud,2795.41,1
295,Has Hijos,Salud,1077.56,1
296,Obras Larga,Alimentos,166.08,1
297,Millones Tratamiento,Deportes,646.69,1
298,Persona Acciones,Deportes,3218.49,1
299,Radio Muerte,Deportes,2236.93,1
300,Tanto Mucha,Hogar,1056.92,1
301,Construcción Imagen,Tecnología,4168.19,0
302,Color Ser,Hogar,3353.53,0
303,Mantener Puede,Hogar,344.31,1
304,Medio Tipos,Deportes,3908.72,1
305,Militar Fuerza,Moda,3907.15,1
306,Unidad Pueden,Deportes,1851.66,1
307,Razones Mujeres,Alimentos,3718.26,1
308,Luego Tú,Deportes,2771.2,1
309,Momentos Teatro,Salud,2435.91,1
310,Necesario Costa,Alimentos,3551.79,1
311,Hacía Aun,Deportes,2083.21,1
312,Cerca Yo,Hogar,2358.23,1
313,Poder Servicio,Alimentos,224.67,1
314,Presencia Condiciones,Alimentos,4333.54,1
315,Fue Asunto,Deportes,1821.28,1
316,Popular Información,Moda,2102.99,1
317,Iglesia Dios,Salud,4139.7,1
318,Enero Energía,Hogar,2112.93,1
319,Humana Posibilidad,Tecnología,3265.78,1
320,Cuenta Función,Salud,4223.4,1
321,Esto Ello,Hogar,1799.15,1
322,Argentina Diario,Tecnología,846.01,1
323,Libertad Uso,Alimentos,4036.29,1
324,Tendrá Valor,Tecnología,1162.87,1
325,Organización Pueblo,Alimentos,3594.36,1
326,López Psoe,Tecnología,455.8,1
327,Único Consejo,Alimentos,1665.1,1
328,Medidas Edad,Deportes,3284.59,0
329,Hubiera Son,Salud,4276.4,1
330,Del Ella,Deportes,245.38,1
331,Pesar Fernando,Moda,2566.44,1
332,Peor Serán,Hogar,771.45,1
333,Carta Has,Alimentos,278.33,1
334,Interior Atrás,Alimentos,3470.41,1
335,Relaciones Dice,Alimentos,854.1,1
336,Texto Vuelta,Hogar,65.72,1
337,Razón Negro,Tecnología,2090.96,1
338,Base Fuego,Salud,3643.17,1
339,Sangre Sí,Deportes,1108.56,1
340,Estas Antonio,Deportes,2069.14,1
341,Torno Fuerte,Salud,2720.45,1
342,Quién Segunda,Salud,1287.6,1
343,Evitar Padre,Hogar,267.69,1
344,Profesional Espacio,Alimentos,1603.14,1
345,Dónde Especialmente,Tecnología,3018.13,1
346,Contra Cuba,Moda,1523.44,1
347,Actitud Aquella,Tecnología,1905.46,1
348,Hospital Distintos,Alimentos,1315.49,1
349,Tengo Naturaleza,Alimentos,2697.61,1
350,Mano Años,Hogar,4350.01,1
351,Diferencia Eso,Moda,4195.09,1
352,Va Dio,Moda,1486.56,1
353,Victoria N,Tecnología,3425.07,1
354,Cuenta Zonas,Tecnología,1353.11,1
355,Lleva Tenido,Alimentos,3874.37,1
356,Lado Manuel,Deportes,2384.68,1
357,Condiciones Gran,Salud,308.92,1
358,Escuela Decisión,Alimentos,2403.81,1
359,Importantes Poder,Alimentos,3114.51,1
360,Económica Padre,Alimentos,1327.98,1
361,Libertad Carácter,Moda,1205.49,1
362,Formación Deja,Salud,1624.65,1
363,Políticas Carta,Salud,2258.97,1
364,Puerto Muerto,Deportes,2241.64,1
365,Considera Fuerte,Salud,1085.61,1
366,Llamado Respuesta,Hogar,57.04,1
367,Porque Dolor,Alimentos,3595.46,1
368,Llegado Hacía,Hogar,3608.06,0
369,Dos Noche,Deportes,252.44,1
370,Datos Diversas,Alimentos,994.9,1
371,Mil Otros,Alimentos,1303.24,1
372,Cuanto Película,Moda,1386.26,1
373,Jefe Decía,Tecnología,556.57,1
374,Adelante Partidos,Deportes,3273.57,1
375,Fondo Hermano,Tecnología,3752.59,1
376,Teoría Hacerlo,Moda,4154.14,1
377,Larga Grande,Deportes,3597.78,1
378,Estas Enero,Deportes,741.47,1
379,Marzo Mira,Salud,4036.88,1
380,Adelante Crecimiento,Deportes,4178.67,1
381,Ambos Seguir,Salud,1382.08,1
382,Particular Tenemos,Moda,2520.54,1
383,Naturaleza Autor,Salud,3100.45,1
384,Dirección Respuesta,Moda,344.65,1
385,Enfermedad Cultura,Tecnología,1559.23,1
386,Si Debía,Salud,3798.71,1
387,Atrás Voy,Deportes,883.84,1
388,Dos Intereses,Moda,3188.43,1
389,Sean Libro,Tecnología,1258.16,1
390,López Dónde,Hogar,1703.55,1
391,Entre Nuestros,Moda,1011.82,1
392,Segunda Enero,Tecnología,1715.26,1
393,Explicó Puntos,Hogar,4114.42,1
394,Del Difícil,Tecnología,3605.66,1
395,Principales Internacional,Hogar,896.44,1
396,García Acerca,Alimentos,3938.76,1
397,María Difícil,Moda,687.66,1
398,Varias Dado,Salud,3061.39,1
399,Fueron Europea,Alimentos,212.66,1
400,Mejor Principios,Salud,565.47,1
401,Haya Contra,Tecnología,3107.38,1
402,Han Policía,Tecnología,1533.14,1
403,Lucha Mes,Tecnología,2366.57,1
404,Mientras Cultura,Moda,150.04,1
405,Española París,Alimentos,4020.0,1
406,Doctor Pasar,Hogar,1325.22,1
407,N Paz,Deportes,3036.5,1
408,Palabra Tampoco,Hogar,1267.68,1
409,Industria Ideas,Salud,2540.33,1
410,Generales Manera,Salud,1608.92,1
411,Tienen Tendrá,Hogar,4247.59,1
412,Aun Sino,Salud,1139.47,1
413,Dar Única,Salud,4020.48,1
414,Estilo Función,Tecnología,628.83,1
415,Mantener Política,Alimentos,274.53,1
416,Lugar Sueño,Tecnología,1947.77,1
417,Durante Proyectos,Salud,4016.18,1
418,Así Misma,Alimentos,3162.18,1
419,Suelo Muerto,Moda,1528.88,1
420,Años Cuya,Alimentos,3651.38,1
421,Decir Orden,Deportes,2576.66,1
422,Iglesia Siguiente,Alimentos,2133.83,1
423,Corte Ejército,Alimentos,2917.66,1
424,Adelante Peso,Deportes,1081.04,1
425,Esas Niños,Salud,1198.33,1
426,Servicio Color,Hogar,3163.29,1
427,Principios Crecimiento,Moda,2067.11,1
428,Sea Propios,Deportes,552.35,1
429,Nuestro Carne,Hogar,1306.05,1
430,B Sangre,Salud,616.9,1
431,Visto Niveles,Alimentos,3595.57,1
432,Organización Allí,Alimentos,365.61,1
433,Pp Centros,Deportes,1833.63,1
434,Producto Dos,Salud,1134.43,1
435,Primero Hay,Deportes,1757.98,1
436,Ayuda Político,Alimentos,2679.82,1
437,Manuel Millones,Deportes,2574.09,1
438,Ley Resulta,Alimentos,1100.89,1
439,Piel Sólo,Tecnología,3340.18,1
440,Gobierno Líder,Deportes,558.74,1
441,Tú Resulta,Moda,2520.14,1
442,Sueño Tan,Hogar,1420.76,1
443,Único Cabo,Salud,533.91,1
444,Desarrollo Amor,Deportes,1506.97,1
445,Pasar Nos,Tecnología,452.87,1
446,Tener Diez,Salud,4069.49,1
447,Cuales Dinero,Tecnología,3419.0,1
448,Creo Programas,Deportes,2414.09,1
449,Posición Ocasión,Salud,2039.86,1
450,Capacidad Película,Moda,1383.82,1
451,Pablo Superior,Alimentos,1405.25,1
452,Edad Nueva,Deportes,3244.17,1
453,Días Sus,Tecnología,2643.14,1
454,Podemos Salud,Salud,1848.68,1
455,Todavía Estamos,Moda,327.73,1
456,Nuestros Ejemplo,Tecnología,53.75,1
457,Mayor Ideas,Moda,538.16,1
458,Ve Fuerza,Tecnología,1096.82,1
459,Hacerlo Niveles,Deportes,2832.2,1
460,Recursos Hubo,Deportes,1747.96,1
461,Baja Sabía,Alimentos,821.67,1
462,Ii Tener,Salud,1761.45,1
463,Ambos Número,Deportes,736.49,0
464,Crecimiento Decisión,Alimentos,608.69,1
465,Mejor Podía,Alimentos,119.9,1
466,Mayor Victoria,Deportes,2977.77,0
467,Comunicación Ex,Hogar,426.75,1
468,Día Cuando,Deportes,3877.68,1
469,Demás Incluso,Alimentos,2739.71,1
470,Sus Forma,Hogar,2072.05,1
471,Vez Control,Deportes,1761.98,1
472,Cierta Miembros,Deportes,2740.35,1
473,Mujeres Salud,Alimentos,1103.54,1
474,Deben Menor,Deportes,4173.21,1
475,Hubo Salud,Tecnología,4403.14,1
476,Llama Vía,Alimentos,1690.17,1
477,Cabo Con,Alimentos,406.28,1
478,Vuelve Bien,Salud,4426.93,0
479,Libro Gente,Moda,2118.97,1
480,Realidad Objetivo,Salud,443.59,1
481,Solo Obra,Alimentos,3003.63,1
482,Plan López,Alimentos,2869.91,1
483,Toda Podrá,Moda,2778.02,1
484,Victoria Hospital,Salud,3514.45,1
485,Ocho He,Salud,4081.95,1
486,Agua Cara,Moda,1923.52,0
487,Parece Dice,Moda,1336.98,1
488,Finalmente Pasa,Salud,3384.94,1
489,Diversas Acuerdo,Salud,1208.97,1
490,Características Imagen,Salud,802.4,1
491,Podría Grande,Moda,3649.59,1
492,Recursos Buscar,Moda,2207.18,1
493,Económico Nuevos,Tecnología,3838.93,1
494,Aquí Violencia,Hogar,2790.3,1
495,Libre Señaló,Moda,113.2,1
496,Dado Todavía,Hogar,4100.09,1
497,Bastante Única,Alimentos,2037.61,1
498,Asimismo Sean,Moda,3532.25,1
499,Luis Ahí,Hogar,3607.21,1
500,Va Material,Moda,4429.12,0
